[Hz],FFT[dBm]
0.0000000E+00,-5.14254E+01
6.1035156E+01,-5.41654E+01
1.2207031E+02,-7.94054E+01
1.8310547E+02,-7.98454E+01
2.4414062E+02,-8.11454E+01
3.0517578E+02,-9.13054E+01
3.6621094E+02,-8.55854E+01
4.2724609E+02,-8.15854E+01
4.8828125E+02,-8.78054E+01
5.4931641E+02,-9.18854E+01
6.1035156E+02,-9.24454E+01
6.7138672E+02,-9.32454E+01
7.3242188E+02,-8.66454E+01
7.9345703E+02,-9.69254E+01
8.5449219E+02,-8.47454E+01
9.1552734E+02,-8.87454E+01
9.7656250E+02,-9.56254E+01
1.0375977E+03,-9.03654E+01
1.0986328E+03,-8.17254E+01
1.1596680E+03,-7.85254E+01
1.2207031E+03,-7.88054E+01
1.2817383E+03,-8.09454E+01
1.3427734E+03,-8.26854E+01
1.4038086E+03,-8.14654E+01
1.4648438E+03,-8.38054E+01
1.5258789E+03,-1.08625E+02
1.5869141E+03,-8.99254E+01
1.6479492E+03,-9.76854E+01
1.7089844E+03,-8.86054E+01
1.7700195E+03,-8.89654E+01
1.8310547E+03,-9.84854E+01
1.8920898E+03,-9.14054E+01
1.9531250E+03,-8.46654E+01
2.0141602E+03,-8.85454E+01
2.0751953E+03,-1.01685E+02
2.1362305E+03,-9.55054E+01
2.1972656E+03,-9.91654E+01
2.2583008E+03,-9.05254E+01
2.3193359E+03,-9.03854E+01
2.3803711E+03,-9.21254E+01
2.4414062E+03,-9.46454E+01
2.5024414E+03,-9.57654E+01
2.5634766E+03,-8.40254E+01
2.6245117E+03,-8.14854E+01
2.6855469E+03,-8.50654E+01
2.7465820E+03,-8.67454E+01
2.8076172E+03,-7.90054E+01
2.8686523E+03,-7.90254E+01
2.9296875E+03,-8.83454E+01
2.9907227E+03,-8.54254E+01
3.0517578E+03,-8.31854E+01
3.1127930E+03,-9.23654E+01
3.1738281E+03,-8.43254E+01
3.2348633E+03,-8.22054E+01
3.2958984E+03,-8.45854E+01
3.3569336E+03,-8.30654E+01
3.4179688E+03,-8.91254E+01
3.4790039E+03,-9.03254E+01
3.5400391E+03,-8.38054E+01
3.6010742E+03,-8.26854E+01
3.6621094E+03,-8.19054E+01
3.7231445E+03,-8.18254E+01
3.7841797E+03,-8.24454E+01
3.8452148E+03,-8.18454E+01
3.9062500E+03,-8.27854E+01
3.9672852E+03,-8.34654E+01
4.0283203E+03,-8.59854E+01
4.0893555E+03,-8.88654E+01
4.1503906E+03,-9.54854E+01
4.2114258E+03,-8.82654E+01
4.2724609E+03,-8.29254E+01
4.3334961E+03,-8.33254E+01
4.3945312E+03,-8.50654E+01
4.4555664E+03,-8.90254E+01
4.5166016E+03,-9.43254E+01
4.5776367E+03,-9.69654E+01
4.6386719E+03,-8.75254E+01
4.6997070E+03,-9.03854E+01
4.7607422E+03,-1.02205E+02
4.8217773E+03,-9.92254E+01
4.8828125E+03,-9.04654E+01
4.9438477E+03,-8.51854E+01
5.0048828E+03,-9.11054E+01
5.0659180E+03,-1.06425E+02
5.1269531E+03,-9.98054E+01
5.1879883E+03,-8.42454E+01
5.2490234E+03,-8.05054E+01
5.3100586E+03,-8.64054E+01
5.3710938E+03,-9.32254E+01
5.4321289E+03,-8.82654E+01
5.4931641E+03,-1.00765E+02
5.5541992E+03,-8.60454E+01
5.6152344E+03,-8.95054E+01
5.6762695E+03,-9.05854E+01
5.7373047E+03,-9.13654E+01
5.7983398E+03,-9.17654E+01
5.8593750E+03,-8.39454E+01
5.9204102E+03,-8.11854E+01
5.9814453E+03,-8.48854E+01
6.0424805E+03,-9.55654E+01
6.1035156E+03,-9.03054E+01
6.1645508E+03,-9.08854E+01
6.2255859E+03,-9.03454E+01
6.2866211E+03,-8.30454E+01
6.3476562E+03,-8.20654E+01
6.4086914E+03,-8.31654E+01
6.4697266E+03,-8.57054E+01
6.5307617E+03,-8.28454E+01
6.5917969E+03,-8.09254E+01
6.6528320E+03,-8.51654E+01
6.7138672E+03,-8.74454E+01
6.7749023E+03,-8.22054E+01
6.8359375E+03,-7.67654E+01
6.8969727E+03,-7.80854E+01
6.9580078E+03,-8.95854E+01
7.0190430E+03,-9.27654E+01
7.0800781E+03,-8.87254E+01
7.1411133E+03,-8.87854E+01
7.2021484E+03,-8.27454E+01
7.2631836E+03,-7.93054E+01
7.3242188E+03,-8.25454E+01
7.3852539E+03,-8.39854E+01
7.4462891E+03,-9.55654E+01
7.5073242E+03,-8.61254E+01
7.5683594E+03,-8.38054E+01
7.6293945E+03,-8.43054E+01
7.6904297E+03,-9.19054E+01
7.7514648E+03,-8.65454E+01
7.8125000E+03,-9.45054E+01
7.8735352E+03,-8.27654E+01
7.9345703E+03,-8.65054E+01
7.9956055E+03,-9.30854E+01
8.0566406E+03,-8.94454E+01
8.1176758E+03,-8.61654E+01
8.1787109E+03,-8.46854E+01
8.2397461E+03,-8.74454E+01
8.3007812E+03,-8.23854E+01
8.3618164E+03,-8.23654E+01
8.4228516E+03,-8.99654E+01
8.4838867E+03,-8.71254E+01
8.5449219E+03,-7.85254E+01
8.6059570E+03,-7.75654E+01
8.6669922E+03,-8.87854E+01
8.7280273E+03,-9.39854E+01
8.7890625E+03,-9.23654E+01
8.8500977E+03,-8.72654E+01
8.9111328E+03,-9.38054E+01
8.9721680E+03,-8.95854E+01
9.0332031E+03,-9.35854E+01
9.0942383E+03,-9.10254E+01
9.1552734E+03,-9.51654E+01
9.2163086E+03,-9.41654E+01
9.2773438E+03,-8.84854E+01
9.3383789E+03,-8.77054E+01
9.3994141E+03,-8.74054E+01
9.4604492E+03,-8.84654E+01
9.5214844E+03,-8.37454E+01
9.5825195E+03,-8.25254E+01
9.6435547E+03,-9.05054E+01
9.7045898E+03,-8.78454E+01
9.7656250E+03,-8.61054E+01
9.8266602E+03,-8.56454E+01
9.8876953E+03,-8.43654E+01
9.9487305E+03,-8.46854E+01
1.0009766E+04,-8.52654E+01
1.0070801E+04,-8.30854E+01
1.0131836E+04,-8.60854E+01
1.0192871E+04,-8.72254E+01
1.0253906E+04,-8.56854E+01
1.0314941E+04,-9.11054E+01
1.0375977E+04,-9.12054E+01
1.0437012E+04,-8.51654E+01
1.0498047E+04,-8.35054E+01
1.0559082E+04,-8.33454E+01
1.0620117E+04,-8.73854E+01
1.0681152E+04,-8.35254E+01
1.0742188E+04,-8.52454E+01
1.0803223E+04,-9.31254E+01
1.0864258E+04,-8.35054E+01
1.0925293E+04,-8.42654E+01
1.0986328E+04,-9.35654E+01
1.1047363E+04,-8.69654E+01
1.1108398E+04,-9.01254E+01
1.1169434E+04,-1.07565E+02
1.1230469E+04,-9.40454E+01
1.1291504E+04,-8.83454E+01
1.1352539E+04,-9.14654E+01
1.1413574E+04,-8.90254E+01
1.1474609E+04,-8.01854E+01
1.1535645E+04,-8.31654E+01
1.1596680E+04,-9.43254E+01
1.1657715E+04,-9.35254E+01
1.1718750E+04,-8.58654E+01
1.1779785E+04,-8.31854E+01
1.1840820E+04,-8.42654E+01
1.1901855E+04,-9.10254E+01
1.1962891E+04,-9.79454E+01
1.2023926E+04,-9.38854E+01
1.2084961E+04,-8.67654E+01
1.2145996E+04,-8.99654E+01
1.2207031E+04,-8.91654E+01
1.2268066E+04,-8.70654E+01
1.2329102E+04,-1.00525E+02
1.2390137E+04,-9.63454E+01
1.2451172E+04,-8.91654E+01
1.2512207E+04,-9.76054E+01
1.2573242E+04,-9.45454E+01
1.2634277E+04,-9.93654E+01
1.2695312E+04,-8.68254E+01
1.2756348E+04,-8.29854E+01
1.2817383E+04,-8.54454E+01
1.2878418E+04,-1.14185E+02
1.2939453E+04,-8.50454E+01
1.3000488E+04,-8.79454E+01
1.3061523E+04,-9.87854E+01
1.3122559E+04,-9.52454E+01
1.3183594E+04,-8.89054E+01
1.3244629E+04,-8.36054E+01
1.3305664E+04,-8.88454E+01
1.3366699E+04,-1.01045E+02
1.3427734E+04,-8.77854E+01
1.3488770E+04,-8.56654E+01
1.3549805E+04,-8.86854E+01
1.3610840E+04,-9.22854E+01
1.3671875E+04,-8.93454E+01
1.3732910E+04,-8.75454E+01
1.3793945E+04,-8.68654E+01
1.3854980E+04,-8.17054E+01
1.3916016E+04,-7.95854E+01
1.3977051E+04,-8.44254E+01
1.4038086E+04,-9.11854E+01
1.4099121E+04,-8.94854E+01
1.4160156E+04,-8.67254E+01
1.4221191E+04,-9.01254E+01
1.4282227E+04,-8.71854E+01
1.4343262E+04,-8.70454E+01
1.4404297E+04,-8.18454E+01
1.4465332E+04,-7.89454E+01
1.4526367E+04,-8.37054E+01
1.4587402E+04,-9.28254E+01
1.4648438E+04,-8.65654E+01
1.4709473E+04,-8.09854E+01
1.4770508E+04,-8.10654E+01
1.4831543E+04,-8.09854E+01
1.4892578E+04,-8.09454E+01
1.4953613E+04,-8.16454E+01
1.5014648E+04,-9.02654E+01
1.5075684E+04,-8.93054E+01
1.5136719E+04,-8.32454E+01
1.5197754E+04,-8.44054E+01
1.5258789E+04,-9.17854E+01
1.5319824E+04,-9.36254E+01
1.5380859E+04,-9.11654E+01
1.5441895E+04,-8.28054E+01
1.5502930E+04,-8.13454E+01
1.5563965E+04,-9.07454E+01
1.5625000E+04,-8.45054E+01
1.5686035E+04,-8.70854E+01
1.5747070E+04,-9.13454E+01
1.5808105E+04,-9.11054E+01
1.5869141E+04,-8.68654E+01
1.5930176E+04,-8.74854E+01
1.5991211E+04,-8.61454E+01
1.6052246E+04,-8.25654E+01
1.6113281E+04,-8.24654E+01
1.6174316E+04,-8.91254E+01
1.6235352E+04,-9.11454E+01
1.6296387E+04,-8.97654E+01
1.6357422E+04,-9.21454E+01
1.6418457E+04,-8.48854E+01
1.6479492E+04,-8.26254E+01
1.6540527E+04,-8.56054E+01
1.6601562E+04,-9.14254E+01
1.6662598E+04,-8.64254E+01
1.6723633E+04,-9.10854E+01
1.6784668E+04,-9.48454E+01
1.6845703E+04,-9.08054E+01
1.6906738E+04,-8.73854E+01
1.6967773E+04,-8.33254E+01
1.7028809E+04,-8.50854E+01
1.7089844E+04,-9.09254E+01
1.7150879E+04,-9.75254E+01
1.7211914E+04,-9.75454E+01
1.7272949E+04,-8.85654E+01
1.7333984E+04,-8.81254E+01
1.7395020E+04,-8.70854E+01
1.7456055E+04,-8.56254E+01
1.7517090E+04,-9.06454E+01
1.7578125E+04,-8.83454E+01
1.7639160E+04,-8.92254E+01
1.7700195E+04,-9.02254E+01
1.7761230E+04,-8.76654E+01
1.7822266E+04,-9.52454E+01
1.7883301E+04,-8.82654E+01
1.7944336E+04,-8.73654E+01
1.8005371E+04,-9.19454E+01
1.8066406E+04,-9.68854E+01
1.8127441E+04,-8.78654E+01
1.8188477E+04,-8.68454E+01
1.8249512E+04,-8.41654E+01
1.8310547E+04,-8.46854E+01
1.8371582E+04,-8.14654E+01
1.8432617E+04,-8.15054E+01
1.8493652E+04,-8.49654E+01
1.8554688E+04,-8.65854E+01
1.8615723E+04,-8.69654E+01
1.8676758E+04,-8.78254E+01
1.8737793E+04,-9.42854E+01
1.8798828E+04,-9.07454E+01
1.8859863E+04,-8.51654E+01
1.8920898E+04,-8.17654E+01
1.8981934E+04,-9.09054E+01
1.9042969E+04,-9.17854E+01
1.9104004E+04,-8.57654E+01
1.9165039E+04,-8.44654E+01
1.9226074E+04,-8.20854E+01
1.9287109E+04,-8.27854E+01
1.9348145E+04,-8.61454E+01
1.9409180E+04,-1.13945E+02
1.9470215E+04,-8.18454E+01
1.9531250E+04,-7.77454E+01
1.9592285E+04,-8.33654E+01
1.9653320E+04,-8.85454E+01
1.9714355E+04,-8.67454E+01
1.9775391E+04,-9.35654E+01
1.9836426E+04,-9.83254E+01
1.9897461E+04,-8.30054E+01
1.9958496E+04,-8.19254E+01
2.0019531E+04,-9.37654E+01
2.0080566E+04,-8.35654E+01
2.0141602E+04,-8.73654E+01
2.0202637E+04,-9.00054E+01
2.0263672E+04,-8.46854E+01
2.0324707E+04,-8.87854E+01
2.0385742E+04,-9.19254E+01
2.0446777E+04,-8.63254E+01
2.0507812E+04,-8.77054E+01
2.0568848E+04,-9.40254E+01
2.0629883E+04,-8.82654E+01
2.0690918E+04,-9.69854E+01
2.0751953E+04,-9.98054E+01
2.0812988E+04,-8.43654E+01
2.0874023E+04,-8.48454E+01
2.0935059E+04,-8.63854E+01
2.0996094E+04,-9.93654E+01
2.1057129E+04,-9.12454E+01
2.1118164E+04,-9.12654E+01
2.1179199E+04,-8.93454E+01
2.1240234E+04,-9.11654E+01
2.1301270E+04,-1.02885E+02
2.1362305E+04,-8.69854E+01
2.1423340E+04,-8.20854E+01
2.1484375E+04,-8.24654E+01
2.1545410E+04,-1.11445E+02
2.1606445E+04,-8.78254E+01
2.1667480E+04,-9.34254E+01
2.1728516E+04,-8.81654E+01
2.1789551E+04,-8.84854E+01
2.1850586E+04,-8.27854E+01
2.1911621E+04,-8.42454E+01
2.1972656E+04,-8.57054E+01
2.2033691E+04,-8.18254E+01
2.2094727E+04,-8.65854E+01
2.2155762E+04,-8.45454E+01
2.2216797E+04,-8.14654E+01
2.2277832E+04,-8.49254E+01
2.2338867E+04,-9.92054E+01
2.2399902E+04,-9.30054E+01
2.2460938E+04,-8.87854E+01
2.2521973E+04,-8.22054E+01
2.2583008E+04,-9.68454E+01
2.2644043E+04,-8.40454E+01
2.2705078E+04,-8.78254E+01
2.2766113E+04,-8.84854E+01
2.2827148E+04,-8.61654E+01
2.2888184E+04,-8.57454E+01
2.2949219E+04,-8.53254E+01
2.3010254E+04,-9.55654E+01
2.3071289E+04,-9.75454E+01
2.3132324E+04,-9.00054E+01
2.3193359E+04,-8.60854E+01
2.3254395E+04,-8.67254E+01
2.3315430E+04,-8.75254E+01
2.3376465E+04,-8.06054E+01
2.3437500E+04,-8.17854E+01
2.3498535E+04,-8.73854E+01
2.3559570E+04,-9.61254E+01
2.3620605E+04,-9.56654E+01
2.3681641E+04,-9.32654E+01
2.3742676E+04,-8.68654E+01
2.3803711E+04,-8.43654E+01
2.3864746E+04,-8.94054E+01
2.3925781E+04,-9.75854E+01
2.3986816E+04,-8.13254E+01
2.4047852E+04,-8.23254E+01
2.4108887E+04,-8.69054E+01
2.4169922E+04,-9.22054E+01
2.4230957E+04,-8.69454E+01
2.4291992E+04,-1.00385E+02
2.4353027E+04,-8.45254E+01
2.4414062E+04,-8.20254E+01
2.4475098E+04,-8.28254E+01
2.4536133E+04,-8.52854E+01
2.4597168E+04,-8.65454E+01
2.4658203E+04,-9.68454E+01
2.4719238E+04,-9.07454E+01
2.4780273E+04,-8.35654E+01
2.4841309E+04,-8.24254E+01
2.4902344E+04,-8.35654E+01
2.4963379E+04,-8.57454E+01
2.5024414E+04,-7.97454E+01
2.5085449E+04,-7.84054E+01
2.5146484E+04,-8.26254E+01
2.5207520E+04,-8.25854E+01
2.5268555E+04,-8.07654E+01
2.5329590E+04,-8.24454E+01
2.5390625E+04,-8.97454E+01
2.5451660E+04,-8.32054E+01
2.5512695E+04,-8.92254E+01
2.5573730E+04,-8.60254E+01
2.5634766E+04,-8.32254E+01
2.5695801E+04,-8.47654E+01
2.5756836E+04,-7.99254E+01
2.5817871E+04,-7.87454E+01
2.5878906E+04,-8.49454E+01
2.5939941E+04,-8.46054E+01
2.6000977E+04,-8.21854E+01
2.6062012E+04,-9.03254E+01
2.6123047E+04,-8.41654E+01
2.6184082E+04,-8.78654E+01
2.6245117E+04,-9.68254E+01
2.6306152E+04,-9.31654E+01
2.6367188E+04,-9.35854E+01
2.6428223E+04,-1.00765E+02
2.6489258E+04,-9.40854E+01
2.6550293E+04,-9.23454E+01
2.6611328E+04,-1.03885E+02
2.6672363E+04,-9.39254E+01
2.6733398E+04,-8.52454E+01
2.6794434E+04,-8.50254E+01
2.6855469E+04,-9.28054E+01
2.6916504E+04,-9.26254E+01
2.6977539E+04,-8.82454E+01
2.7038574E+04,-8.58854E+01
2.7099609E+04,-8.62454E+01
2.7160645E+04,-8.48654E+01
2.7221680E+04,-8.84854E+01
2.7282715E+04,-9.01254E+01
2.7343750E+04,-8.50854E+01
2.7404785E+04,-8.34854E+01
2.7465820E+04,-8.81254E+01
2.7526855E+04,-1.03725E+02
2.7587891E+04,-9.02254E+01
2.7648926E+04,-8.39054E+01
2.7709961E+04,-8.29654E+01
2.7770996E+04,-8.45054E+01
2.7832031E+04,-8.57854E+01
2.7893066E+04,-8.56054E+01
2.7954102E+04,-8.86254E+01
2.8015137E+04,-8.41254E+01
2.8076172E+04,-8.53054E+01
2.8137207E+04,-8.18654E+01
2.8198242E+04,-9.56454E+01
2.8259277E+04,-8.09454E+01
2.8320312E+04,-7.93454E+01
2.8381348E+04,-8.05054E+01
2.8442383E+04,-8.94454E+01
2.8503418E+04,-9.74054E+01
2.8564453E+04,-9.06254E+01
2.8625488E+04,-8.87854E+01
2.8686523E+04,-9.90654E+01
2.8747559E+04,-8.80454E+01
2.8808594E+04,-9.33254E+01
2.8869629E+04,-1.05645E+02
2.8930664E+04,-9.60454E+01
2.8991699E+04,-9.04654E+01
2.9052734E+04,-9.46054E+01
2.9113770E+04,-9.15654E+01
2.9174805E+04,-1.01545E+02
2.9235840E+04,-8.84654E+01
2.9296875E+04,-8.55854E+01
2.9357910E+04,-8.33254E+01
2.9418945E+04,-8.25454E+01
2.9479980E+04,-8.58254E+01
2.9541016E+04,-8.90254E+01
2.9602051E+04,-9.09854E+01
2.9663086E+04,-9.65454E+01
2.9724121E+04,-9.10854E+01
2.9785156E+04,-8.56454E+01
2.9846191E+04,-8.28654E+01
2.9907227E+04,-8.55654E+01
2.9968262E+04,-8.74254E+01
3.0029297E+04,-8.57054E+01
3.0090332E+04,-8.50654E+01
3.0151367E+04,-8.44654E+01
3.0212402E+04,-8.77054E+01
3.0273438E+04,-9.31254E+01
3.0334473E+04,-9.87454E+01
3.0395508E+04,-9.27854E+01
3.0456543E+04,-8.64654E+01
3.0517578E+04,-8.46254E+01
3.0578613E+04,-9.61054E+01
3.0639648E+04,-9.03854E+01
3.0700684E+04,-8.64254E+01
3.0761719E+04,-8.58454E+01
3.0822754E+04,-8.05254E+01
3.0883789E+04,-8.10054E+01
3.0944824E+04,-8.69654E+01
3.1005859E+04,-1.03985E+02
3.1066895E+04,-9.31054E+01
3.1127930E+04,-8.76654E+01
3.1188965E+04,-8.60854E+01
3.1250000E+04,-8.32854E+01
3.1311035E+04,-8.14454E+01
3.1372070E+04,-8.55854E+01
3.1433105E+04,-9.26054E+01
3.1494141E+04,-8.38454E+01
3.1555176E+04,-8.01254E+01
3.1616211E+04,-8.13454E+01
3.1677246E+04,-8.56454E+01
3.1738281E+04,-8.37454E+01
3.1799316E+04,-7.98054E+01
3.1860352E+04,-8.34654E+01
3.1921387E+04,-8.26054E+01
3.1982422E+04,-8.63054E+01
3.2043457E+04,-9.63254E+01
3.2104492E+04,-8.94454E+01
3.2165527E+04,-9.92054E+01
3.2226562E+04,-8.64054E+01
3.2287598E+04,-8.24254E+01
3.2348633E+04,-8.46854E+01
3.2409668E+04,-8.50854E+01
3.2470703E+04,-8.20254E+01
3.2531738E+04,-8.97054E+01
3.2592773E+04,-9.55254E+01
3.2653809E+04,-9.37254E+01
3.2714844E+04,-8.21654E+01
3.2775879E+04,-8.23054E+01
3.2836914E+04,-8.69454E+01
3.2897949E+04,-8.78654E+01
3.2958984E+04,-8.70654E+01
3.3020020E+04,-9.26254E+01
3.3081055E+04,-8.40654E+01
