[s],CH1[V]
-1.05510E-05,-4.916E-01
-1.05500E-05,-4.916E-01
-1.05490E-05,-4.916E-01
-1.05480E-05,-4.916E-01
-1.05470E-05,-4.916E-01
-1.05460E-05,-4.916E-01
-1.05450E-05,-4.916E-01
-1.05440E-05,-4.716E-01
-1.05430E-05,-4.916E-01
-1.05420E-05,-4.716E-01
-1.05410E-05,-4.916E-01
-1.05400E-05,-4.916E-01
-1.05390E-05,-4.916E-01
-1.05380E-05,-4.716E-01
-1.05370E-05,-4.916E-01
-1.05360E-05,-4.916E-01
-1.05350E-05,-4.916E-01
-1.05340E-05,-4.916E-01
-1.05330E-05,-5.116E-01
-1.05320E-05,-4.916E-01
-1.05310E-05,-4.916E-01
-1.05300E-05,-4.916E-01
-1.05290E-05,-4.716E-01
-1.05280E-05,-4.916E-01
-1.05270E-05,-4.916E-01
-1.05260E-05,-4.716E-01
-1.05250E-05,-4.916E-01
-1.05240E-05,-4.916E-01
-1.05230E-05,-4.916E-01
-1.05220E-05,-4.916E-01
-1.05210E-05,-4.916E-01
-1.05200E-05,-4.916E-01
-1.05190E-05,-4.916E-01
-1.05180E-05,-4.916E-01
-1.05170E-05,-4.916E-01
-1.05160E-05,-4.916E-01
-1.05150E-05,-4.916E-01
-1.05140E-05,-4.916E-01
-1.05130E-05,-4.916E-01
-1.05120E-05,-5.116E-01
-1.05110E-05,-5.116E-01
-1.05100E-05,-5.116E-01
-1.05090E-05,-4.916E-01
-1.05080E-05,-4.916E-01
-1.05070E-05,-4.716E-01
-1.05060E-05,-4.916E-01
-1.05050E-05,-4.916E-01
-1.05040E-05,-4.916E-01
-1.05030E-05,-4.916E-01
-1.05020E-05,-4.916E-01
-1.05010E-05,-4.716E-01
-1.05000E-05,-4.716E-01
-1.04990E-05,-4.916E-01
-1.04980E-05,-4.916E-01
-1.04970E-05,-4.916E-01
-1.04960E-05,-4.916E-01
-1.04950E-05,-4.916E-01
-1.04940E-05,-4.716E-01
-1.04930E-05,-4.916E-01
-1.04920E-05,-4.916E-01
-1.04910E-05,-4.916E-01
-1.04900E-05,-4.916E-01
-1.04890E-05,-5.116E-01
-1.04880E-05,-4.916E-01
-1.04870E-05,-5.116E-01
-1.04860E-05,-4.916E-01
-1.04850E-05,-4.916E-01
-1.04840E-05,-4.916E-01
-1.04830E-05,-4.916E-01
-1.04820E-05,-4.716E-01
-1.04810E-05,-4.716E-01
-1.04800E-05,-4.916E-01
-1.04790E-05,-4.916E-01
-1.04780E-05,-5.116E-01
-1.04770E-05,-5.116E-01
-1.04760E-05,-4.916E-01
-1.04750E-05,-4.916E-01
-1.04740E-05,-4.916E-01
-1.04730E-05,-4.916E-01
-1.04720E-05,-4.916E-01
-1.04710E-05,-4.916E-01
-1.04700E-05,-4.716E-01
-1.04690E-05,-4.916E-01
-1.04680E-05,-4.716E-01
-1.04670E-05,-4.916E-01
-1.04660E-05,-4.916E-01
-1.04650E-05,-4.916E-01
-1.04640E-05,-4.916E-01
-1.04630E-05,-4.916E-01
-1.04620E-05,-4.916E-01
-1.04610E-05,-4.916E-01
-1.04600E-05,-4.916E-01
-1.04590E-05,-4.916E-01
-1.04580E-05,-4.716E-01
-1.04570E-05,-4.916E-01
-1.04560E-05,-4.916E-01
-1.04550E-05,-4.916E-01
-1.04540E-05,-5.116E-01
-1.04530E-05,-4.916E-01
-1.04520E-05,-4.916E-01
-1.04510E-05,-4.916E-01
-1.04500E-05,-4.916E-01
-1.04490E-05,-4.916E-01
-1.04480E-05,-5.116E-01
-1.04470E-05,-4.916E-01
-1.04460E-05,-4.916E-01
-1.04450E-05,-4.916E-01
-1.04440E-05,-4.916E-01
-1.04430E-05,-4.916E-01
-1.04420E-05,-4.716E-01
-1.04410E-05,-5.116E-01
